,body,category,pubDate,tags,title
0,به گزارش ایسنا، پرسپولیس ایران در چهارمین دیدارش در چارچوب لیگ قهرمانان آسیا با نتیجه ۴ بر صفر گوای هند را در هم کوبید. شهریار مغانلو، مهاجم پرسپولیس که در این دیدار یک گل زد و یک پاس گل داد به عنوان بهترین بازیکن زمین انتخاب شد. پرسپولیس با این نتیجه ۱۲ امتیازی شد و جایگاهش در صدر جدول رده‌بندی E مستحکم‌تر کرد. انتهای پیام,فوتبال، فوتسال,۳ اردیبهشت ۱۴۰۰ / ۲۳:۵۲,"ليگ قهرمانان آسيا ,تيم فوتبال پرسپوليس,اف سی گوا هند,شهریار مغانلو",مغانلو بهترین بازیکن مصاف پرسپولیس و گوا شد
1,دکتر فرهاد ابول‌نژادیان در جمع خبرنگاران در خصوص واکسیناسیون کرونا برای بیماران خاص و ادامه روند واکسیناسیون در خوزستان اظهار کرد: در ادامه فاز نخست واکسیناسیون که برای بیماران خاص در نظر گرفته شده بود، این توفیق حاصل شد که امروز در اهواز و سایر شهرستان‌ها واکسیناسیون بیماران خاص را انجام دهیم. به گزارش ایسنا، وی افزود: این واکسیناسیون برای بیماران دیالیزی، هموفیلی، تالاسمی و ام‌اس در حال انجام است و این کار تا فردا (شنبه) ادامه دارد تا تعداد بیشتری از این بیماران واکسینه شوند. رئیس دانشگاه علوم پزشکی جندی شاپور اهواز گفت: از فردا فراخوان تزریق واکسن برای بیماران سرطانی منتشر می‌شود و سعی می‌کنیم روزهای یکشنبه و دوشنبه واکسن برای این بیماران تا حدی که در اختیار داریم تزریق شود. ابول‌نژادیان گفت: پس از آن وارد فاز دوم واکسیناسیون می‌شویم و ثبت نام واکسیناسیون بر اساس سن و از افراد بالای ۸۰ سال آغاز می‌شود و در حال ایجاد آمادگی هستیم تا در خوزستان در ابعاد بزرگتری واکسیناسیون را انجام دهیم. انتهای پیام,خوزستان,۳ اردیبهشت ۱۴۰۰ / ۲۰:۴۰,"استانی-اجتماعی,اخبار اجتماعی - خوزستان,کروناویروس,همه_باهم_علیه_کرونا,واکسن کرونا",فراخوان واکسیناسیون بیماران سرطانی خوزستان / آغاز ثبت‌نام عمومی افراد بالای ۸۰ سال
2,به گزارش ایسنا، یحیی گل‌محمدی ترکیب تیمش برای دیدار برابر گوای هند را مشخص کرد. بر همین اساس پرسپولیس امروز با ترکیب بوژیدار رادوشویچ، سید جلال حسینی، محمد حسین کنعانی‌زادگان، مهدی شیری، علی شجاعی، میلاد سرلک، محمد شریفی، امید عالیشاه، مهدی ترابی، شهریار مغانلو و عیسی آل‌کثیر به میدان می‌رود. تیم فوتبال پرسپولیس در جریان هفته چهارم مرحله گروهی لیگ قهرمانان آسیا از ساعت ۲۱:۳۰ به مصاف گوای هند می‌رود. انتهای پیام,فوتبال، فوتسال,۳ اردیبهشت ۱۴۰۰ / ۲۰:۲۵,تيم فوتبال پرسپوليس,ترکیب پرسپولیس برای دیدار برابر گوا مشخص شد
3,به گزارش ایسنا، تیم فوتبال تراکتور ایران از ساعت ۱۹:۳۰ در چهارمین بازی خود در لیگ قهرمانان آسیا به مصاف نیروی هوایی عراق رفت که این دیدار در پایان نیمه نخست با نتیجه یک بر صفر به سود نماینده ایران به پایان رسید. تک گل این نیمه را مهدی تیکدری در دقیقه ۲ به ثمر رساند. تراکتور بازی را هجومی آغاز کرد و در همان دقیقه ۲ موفق به باز کردن دروازه حریف عراقی شد. حرکت انفرادی تیکدری از سمت راست با پاس به بیرون او به بابایی همراه شد که ضربه او را دروازه‌بان نیروی هوایی برگشت داد و در ریباند، تیکدری دروازه را باز کرد. پس از این فرصت تراکتور ۱۰ دقیقه را عقب کشید و در این حین درخشش فخرالدینی و تکل به موقع او یک گل را برای تراکتور خرید. در دقیقه ۱۸ تراکتور فرصت داشت که روی کرنر ارسالی به گل برسد اما ضربه سر هادی محمدی به شکلی خطرناک به بیرون رفت. پس از این و تا دقیقه ۳۰، توپ و میدان در اختیار بازیکنان تیم عراقی بود اما حملات نصفه و نیمه آن‌ها خطر جدی را روی دروازه تراکتور ایجاد نکرد. در دقیقه ۳۰ و مصدومیت احسان حداد، بازی برای دقایقی متوقف شد و این موضوع سبب شد فشار روی دروازه شاگردان خطیبی کمتر شود و بازی در میانه‌های میدان جریان داشته باشد. در دقیقه ۳۹ و حرکت بازیکنان تراکتور، بابایی فراری را در قلب دفاع حریف انجام داد که میثم جبار پس از تک به تک شدن مهاجم تراکتور با دروازه‌بان، در بیرون محوطه جریمه بابایی را متوقف کرد که داور با کارت قرمز مدافع نیروی هوایی را اخراج کرد. محمد عباس‌زاده پشت این ضربه ایستگاهی قرار گرفت و ضربه زیبای او با واکنش دروازه‌بان راهی کرنر شد. پس از این حمله، نیروی هوایی ۲ تعویض اجباری انجام دهد اما تغییری در روند بازی ایجاد نشد تا تراکتور با پیروزی در این نیمه به رختکن برود. ترکیب اولیه تراکتور: محمدرضا اخباری، محمدرضا خانزاده، هادی محمدی، اکبر ایمانی، حمید بوحمدان، پیمان بابایی، مهدی تیکدری، ابوالفضل رزاق پور، محمد عباس زاده، میلاد فخرالدینی و محمد مسلمی پور. ترکیب اولیه نیروی هوایی عراق: فهد طالب، احمد ابراهیم، میثم جبار، ابراهیم بایش، حمادی احمد، همام طارق، احسان حداد، لوی العانی، علی محسن، علی کاظم، مصطفی محمد. انتهای پیام,فوتبال، فوتسال,۳ اردیبهشت ۱۴۰۰ / ۲۰:۲۰,"تيم فوتبال تراكتور,ليگ قهرمانان آسيا ,استانی-ورزشی,تیم فوتبال نیروی هوایی عراق",برتری یک نیمه‌ای تراکتور برابر نیروی هوایی عراق
4,حجت‌الاسلام والمسلمین سیداحمدرضا شاهرخی در هفتمین جلسه «آموزه‌هایی از قرآن کریم»، اظهار کرد: جهان امروز با وجود پیشرفت‌های تکنولوژی، افزایش رفاه و آسایش و به گسترش وسایل صوتی و تصویری دارای مشکلاتی است و از طرفی پیشرفت‌ها باعث شده مشکلات و مسائلی که بشر از نظر اخلاقی به آنان نیازمند است مورد تهدید قرار گیرد. وی با اشاره به اینکه ارتباطات صوتی و تصویری برای همگان میسر شده و با وجود پیشرفت‌های شگرف، گستره و دامنه کجی‌ها و انحطاط‌های اخلاقی پیچیده شده است، تصریح کرد: امروزه از تکنولوژی و اختراعات هم در مسیر رشد و تعالی هم در مسیر ظلم، ستم، تخریب و ضداخلاق استفاده می‌شود. شاهرخی با یادآوری اینکه برای اینکه بتوانیم از اختراعات در مسیر صحیح استفاده کنیم باید اخلاق نبوی و علوی را در جامعه گسترش دهیم، اضافه کرد: انحطاط اخلاقی که جوامع امروز را در برگرفته محدود به چند کشور غربی نیست بلکه مسائل ضداخلاقی در میان دنیای اسلام هم در حال رواج یافتن است و دنیای اسلام هم تا حدودی از توصیه‌های نبی مکرم اسلام فاصله گرفته است. نماینده ولی‌فقیه در لرستان با اشاره به اینکه گاهی برخی مسلمانان به جای اینکه به توصیه و دستور پیامبر(ص) عمل کنند به خواسته‌ها و امیال خود فکر می‌کنند و این امر موجب تهاجم فرهنگی در کشورهای مسلمان شده است که باید نسبت به آن مراقبت ویژه داشت. وی با اشاره به اینکه مشکلات جامعه اسلامی با عمل به توصیه‌های نبی حل می‌شود، بیان کرد: مسلمانان باید به توصیه‌های نبوی باور داشته و آن را در عمل به کار گیرند چراکه ما مسلمانان پیامبر(ص) را کانون محبت می‌دانیم، بر او درود می‌فرستیم و از خدا شفاعت آن حضرت را طلب می‌کنیم. شاهرخی با یادآوری اینکه عمل به توصیه‌های نبی مکرم اسلام آسیب‌های اجتماعی را از بین می‌برد، اضافه کرد: در بیانی از نبی مکرم اسلام آمده است که مسلمان کسی است که مسلمانان دیگران از دست و زبان او در امان باشند کما اینکه هر ضرر و آسیبی که وارد می‌شود یا از طرف زبان یا دست است. نماینده ولی‌فقیه در استان با بیان اینکه مسلمان کسی است که با زبانش به مسلمان دیگر ضرر نرساند یا با دستش به مسلمانی آسیبی وارد نکند، افزود: ضرر رساندن با دست به معنای دیگر اقدام عملی است و اگر ما این یک روایت پیامبر(ص) را آویزه گوش کنیم بسیاری از آسیب‌های اجتماعی حل می‌شود. وی با اشاره به اینکه اختلافاتی که در درون خانه ایجاد می‌شود یا با زبان است یا با دست، ادامه داد: عمل به توصیه‌های نبوی راه نجات جوامع اسلامی و عامل برطرف شدن بسیاری از مشکلات و منازعات فردی و اجتماعی است. شاهرخی با یادآوری اینکه کسی که قلاده و زنجیر بر گردن حیوان باوفایی انداخته و آن را به محیط اجتماعی و خیابان می‌آورد، حقوق اجتماعی مردم را رعایت نکرده است چراکه محل نگهداری آن جای دیگری است، تصریح کرد: عده‌ای این حیوان باوفا را در مسیر زندگی انسان‌ها قرار می‌دهند که این امر موجب پایمال شدن حقوق اجتماعی آنان می‌شود چراکه این حیوانات بیماری‌هایی دارند که می‌تواند به انسان سرایت کند. امام جمعه خرم‌آباد با اشاره به اینکه امروز می‌بینید کرونا چه می‌کند و بشر امروز از درمان آن عاجز مانده است، گفت: چرا عده‌ای بی‌جهت حیوانی را وارد زندگی خود و دیگران می‌کنند که به محیط آسیب بهداشتی می‌زند و از جهت فقهی احکام مخصوص دارد. وی با اشاره به اینکه امروز دام‌های حلال گوشت هم تحت‌نظر دامپزشک هستند، اضافه کرد: کسی دام حلال گوشت را داخل خیابان یا به پارک نمی‌برد چه برسد به آن حیوان باوفا که محل نگهداری آن در کوی و برزن و خیابان نیست‌ کمااینکه این حیوان محیط پارک و خیابان را آلوده می‌کند و فضولات آن در خیابان می‌ریزد. انتهای پیام,لرستان,۳ اردیبهشت ۱۴۰۰ / ۲۰:۱۴,"استانی-فرهنگی و هنری,نماينده ولي فقيه در استان,قرآن کريم,ماه رمضان ",خطر ترویج مسائل ضداخلاقی در کشورهای اسلامی
5,محمدمراد سپهوند سوم اردیبهشت ماه در جمع خبرنگاران اظهار کرد: پیش از این میزان گوشت مرغ مصرفی روزانه لرستان ۱۲۰ تا ۱۳۰ تن بود که با توجه به تقاضای مردم به این ماده پروتئینی، رقم آن ۲۰ تا ۳۰ تن افزایش یافته است. وی اضافه کرد: با اقدامات موثر و برنامه‌ریزی دقیق در رابطه با تعیین و تعریف شبکه‌های توزیع مناسب و کنترل مبادی تولید تا سطح عرضه و نظارت دقیق بر کشتارگاه‌ها و مرغداری‌های استان، اکنون میانگین تولید و کشتار مرغ به ۱۵۰ تن در روز رسیده و کمبودی در این زمینه وجود ندارد. سپهوند با بیان اینکه این میزان گوشت مرغ با قیمت مصوب چ در حال توزیع است، افزود: قیمت هر کیلوگرم گوشت مرغ در استان ۲۴ هزار و ۹۰۰ تومان در بازار تعیین شده است. معاون بازرگانی داخلی سازمان صنعت، معدن و تجارت لرستان همچنین به تامین و توزیع کالاهای اساسی مربوط به سهمیه ماه مبارک رمضان در استان اشاره کرد و گفت: با تلاش شبانه‌روزی اکنون خوشبختانه هیچ مشکلی برای تامین این کالاهای اساسی در لرستان وجود ندارد و براساس سرانه شهرستان‌ها تخصیص داده شده است. وی با بیان اینکه تمام کالاهای اساسی مورد نیاز استان جذب شده است، تصریح کرد: اکنون موجودی کالاهای اساسی استان مشخص است، میزان جذب شکر ۶۰۰ تن که ۲۰۰ تن آن توزیع شده است، ۶۰۰ تن برنج موجودی در استان است که ۳۰۰ تن آن توزیع شد. سپهوند ادامه داد: همچنین میزان روغن خوراکی توزیع شده استان ۳۰۰ تن بوده و این در حالی است اکنون یک هزار تن روغن در حال توزیع بودن و مشکلی در رابطه با موجودی روغن مصرفی خانوار نداریم و ذخایر و مقادیر تخصیصی جذب شده است. معاون بازرگانی داخلی سازمان صنعت، معدن و تجارت لرستان با بیان اینکه روغن سهمیه صنوف نیز ۶۰۰ تن جذب و ۲۵۰ تن توزیع شده است، خاطرنشان کرد: در رابطه با این چهار قلم اساسی مشکلی در سطح استان نداریم و همه اقلام با قیمت مصوب تنظیم بازار قابل عرضه است. سپهوند درباره توزیع زولبیا و بامیه نیز گفت: با توجه به نیاز مردم و با قیمت ۳۶ هزار تومان به ازای هر کیلوگرم تعیین قیمت شده و هرجا بیشتر از این قیمت عرضه شود با آنها برخورد قانونی خواهد شد. انتهای پیام,لرستان,۳ اردیبهشت ۱۴۰۰ / ۲۰:۱۳,"استانی-اقتصادی,کالای اساسی,وزارت صمت",تامین و توزیع کالاهای اساسی در لرستان بدون مشکل
6,سردار مجید شجاع اظهار کرد: مرزبانان با ایست و بازرسی‌های مستمر و تنگ کردن عرصه فعالیت قاچاقچیان، طی چند عملیات جداگانه موفق به کشف ۱۷۹۰ لیتر سوخت قاچاق شدند. وی ادامه داد: کارشناسان کالای قاچاق ارزش این مقدار سوخت قاچاق را ۱۶۱ میلیون و ۱۰۰ هزار ریال برآورد کرده‌اند. شجاع بیان کرد: در این رابطه تعدادی متخلف دستگیر و ضمن تشکیل پرونده راهی مراجع ذی صلاح شدند. وی در ادامه از کشف بیش از ۶۳۰ میلیون ریال پول قاچاق در مرز دوغارون خبر داد و گفت: مرزبانان هنگ تایباد در ایست بازرسی و کنترل مرزی ۱۷ شهریور با شناسایی ۲ تبعه افغانستانی موفق شدند این مقدار پول قاچاق را کشف کنند. بر اساس گزارش فرماندهی مرزبانی خراسان رضوی فرمانده مرزبانی خراسان رضوی تصریح کرد: در بازرسی از وسایل همراه آن‌ها علاوه بر این میزان پول ایرانی قاچاق، تعداد ۶ گوشی همراه سرقتی را که قصد خروج از کشور داشتند کشف کردند. انتهای پیام وی با اشاره به ممنوعیت خروج غیر قانونی پول ایرانی از کشور اظهار کرد: این ۲ تبعه افغانستانی پس از دستگیری توسط مرزبانان هنگ تایباد جهت سیر مراحل قانونی به مراجع ذی صلاح تحویل شدند.  سردار شجاع تاکید کرد: مرزبانان این استان با اشرافیت اطلاعاتی عملیاتی به پاسداری از مرزهای کشورمان ایستاده‌اند و با توجه به زیان‌ها و آسیب‌های خروج ارز و کالا از مرزهای کشورمان با اقتدار و شجاعت با این پدیده شوم مبارزه می‌کنند. انتهای پیام,خراسان رضوی,۳ اردیبهشت ۱۴۰۰ / ۲۰:۳۱,"استانی-شهرستانها,کشف سوخت قاچاق,تایباد,خبرهای شهرستان تایباد",کشف سوخت و پول قاچاق توسط مرزبانان تایباد
7,به گزارش ایسنا، با نظر جواد نکونام، تیم فولاد با ترکیب محسن فروزان، مهران موسوی، مجتبی نجاریان، عارف آقاسی، مهران درخشان مهر، محمد میری، حسین ابراهیمی، محمد آبشک، آیاندا پاتوسی، پریرا و ساسان انصاری به مصاف النصر عربستان می‌رود. این بازی در چارچوب هفته چهارم مرحله گروهی رقابت‌های لیگ قهرمانان‌آسیا، امشب (جمعه)، ساعت ۲۲:۳۰ برگزار می‌شود. انتهای پیام,فوتبال، فوتسال,۳ اردیبهشت ۱۴۰۰ / ۲۰:۴۸,"تيم فوتبال فولاد خوزستان,النصر عربستان,ليگ قهرمانان آسيا ",ترکیب فولاد مقابل النصر عربستان مشخص شد
8,به گزارش ایسنا، در جریان هفته چهارم لیگ قهرمانان آسیا، تیم فوتبال الریان قطر، از ساعت ۱۹ به مصاف الوحده امارات رفت و در نهایت این دیدار با برتری یک بر صفر تیم اماراتی به پایان رسید. با این نتیجه الریان یک امتیازی و در قعر جدول گروه باقی ماند و الوحده هم به امتیاز هفتم خود رسید تا با تثبیت جایگاه خود در رتبه دوم، به صعود امیدوار باشد. خریبین دقیقه ۷۰ تک گل الوحده را از روی نقطه پنالتی به ثمر رساند. این بازی پربرخورد، سه اخراجی داشت که سهم الریان دو بازیکن و الوحده یک بازیکن بود. احمد السید و فرانک کوم از الریان با کارت قرمز داور جریمه شدند و از الوحده، اسماعیل مطر، کاپیتان این تیم در ثانیه‌های پایانی بازی با تصمیم داور از زمین اخراج شد. الوحده در بازی بعدی‌اش که برابر پرسپولیس ایران است، اسماعیل مطر را به دلیل دریافت کارت قرمز برابر الریان و احمد الرشید، مدافع چپ خود را به دلیل دو اخطاره شدن در اختیار نخواهد داشت. در این گروه پرسپولیس با ۹ امتیاز از ۳ بازی در صدر است و امشب با گوا هند بازی می کند. گوا هم با ۲ امتیاز در مکان سوم است. انتهای پیام,فوتبال، فوتسال,۳ اردیبهشت ۱۴۰۰ / ۲۰:۵۶,ليگ قهرمانان آسيا ,شکست الریان برابر الوحده/ شجاع و یارانش حذف شدند
9,به گزارش ایسنا، تیم فوتبال تراکتور ایران از ساعت ۱۹:۳۰ در چهارمین بازی خود در لیگ قهرمانان آسیا به مصاف نیروی هوایی عراق رفت که این دیدار در پایان با نتیجه یک بر صفر به سود نماینده ایران به پایان رسید تا تراکتور به اولین پیروزی خود در این فصل لیگ قهرمانان آسیا دست پیدا کند. تک گل این بازی را مهدی تیکدری در دقیقه ۲ به ثمر رساند. همچنین نیرو هوایی از دقیقه ۳۹ با اخراج میثم جبار ۱۰ نفره شد. نیمه اول تراکتور بازی را هجومی آغاز کرد و در همان دقیقه ۲ موفق به باز کردن دروازه حریف عراقی شد. حرکت انفرادی تیکدری از سمت راست با پاس به بیرون او به بابایی همراه شد که ضربه او را دروازه‌بان نیروی هوایی برگشت داد و در ریباند، تیکدری دروازه را باز کرد. پس از این فرصت تراکتور ۱۰ دقیقه را عقب کشید و در این حین درخشش فخرالدینی و تکل به موقع او یک گل را برای تراکتور خرید. در دقیقه ۱۸ تراکتور فرصت داشت که روی کرنر ارسالی به گل برسد اما ضربه سر هادی محمدی به شکلی خطرناک به بیرون رفت. پس از این و تا دقیقه ۳۰، توپ و میدان در اختیار بازیکنان تیم عراقی بود اما حملات نصفه و نیمه آن‌ها خطر جدی را روی دروازه تراکتور ایجاد نکرد. در دقیقه ۳۰ و مصدومیت احسان حداد، بازی برای دقایقی متوقف شد و این موضوع سبب شد فشار روی دروازه شاگردان خطیبی کمتر شود و بازی در میانه‌های میدان جریان داشته باشد. در دقیقه ۳۹ و حرکت بازیکنان تراکتور، بابایی فراری را در قلب دفاع حریف انجام داد که میثم جبار پس از تک به تک شدن مهاجم تراکتور با دروازه‌بان، در بیرون محوطه جریمه بابایی را متوقف کرد که داور با کارت قرمز مدافع نیروی هوایی را اخراج کرد. محمد عباس‌زاده پشت این ضربه ایستگاهی قرار گرفت و ضربه زیبای او با واکنش دروازه‌بان راهی کرنر شد. پس از این حمله، نیروی هوایی ۲ تعویض اجباری انجام دهد اما تغییری در روند بازی ایجاد نشد تا تراکتور با پیروزی در این نیمه به رختکن برود. نیمه دوم با این که در بین دو نیمه نریمان‌جهان برای تراکتور به بازی آمد تا این تیم هجومی‌تر شود اما بر خلاف تصور، این نماینده عراق بود که ۱۵ دقیقه ابتدایی را هجومی‌تر آغاز کرد و با حملات جسته و گریخته روی دروازه، سعی در به تساوی کردن بازی داشت اما جدی‌ترین حمله این دقایق توسط ضد حمله تراکتوری‌ها رخ داد. حرکت سرعتی نریمان‌جهان و پاس او به عباس‌زاده، این مهاجم را در فرصت خوبی قرار داد اما شوت عباس‌زاده با واکنش دروازه‌بان حریف برگشت داده شد. در دقیقه ۶۲ و روی کار ترکیبی شریف و همام طارق، نیروی هوایی می‌توانست گل تساوی را به ثمر برساند اما واکنش زیبای اخباری مانع از گل شدن توپ شد. پس از این حمله، رسول خطیبی محمد قادری را به جای اکبر ایمانی به زمین فرستاد. پس از دقیقه ۶۵، باز هم این تراکتوری‌ها بودند که با پایه‌ریزی حملات مختلف سعی در ۲ برابر کردن اختلاف داشتند اما شوت‌های بی‌دقت نریمان‌جهان و تیکدری مانع از این اتفاق شد. در دقیقه ۷۴ باز هم این نیروی هوایی عراق بود که روی دروازه تراکتور خطرساز شد و حتی می‌توانست به گل تساوی برسد اما رزاق‌پور توپ را از روی خط دروازه برگشت داد. با وجود اینکه در ۱۰ دقیقه پایانی فشار روی دروازه تراکتور افزایش پیدا کرده بود و حتی در دقیقه ۸۲ هم نزدیک بود باز هم شریف دروازه تراکتور را باز کند اما شوت این بازیکن از بالای دروازه به بیرون رفت. همچنین خطیبی برای استراحت دادن به بازیکنان اصلی‌اش، عباس‌زاده و بوحمدان را در دقیقه ۸۴ بیرون کشید و فتحی و خرم‌الحسینی را به زمین فرستاد. سرانجام بازی با همان‌ نتیجه یک بر صفر به سود تراکتور خاتمه یافت تا شاگردان خطیبی با ۶ امتیاز در رده دوم جدول رده‌بندی باقی بمانند. نیروی هوایی نیز با ۲ امتیاز موقتا در رده سوم قرار گرفت. ترکیب اولیه تراکتور: محمدرضا اخباری، محمدرضا خانزاده، هادی محمدی، اکبر ایمانی، حمید بوحمدان، پیمان بابایی، مهدی تیکدری، ابوالفضل رزاق پور، محمد عباس زاده، میلاد فخرالدینی و محمد مسلمی پور. ترکیب اولیه نیروی هوایی عراق: فهد طالب، احمد ابراهیم، میثم جبار، ابراهیم بایش، حمادی احمد، همام طارق، احسان حداد، لوی العانی، علی محسن، علی کاظم، مصطفی محمد. انتهای پیام,فوتبال، فوتسال,۳ اردیبهشت ۱۴۰۰ / ۲۱:۲۵,"تيم فوتبال تراكتور,ليگ قهرمانان آسيا ,نیروی هوایی عراق,استانی-ورزشی",شاگردان خطیبی بالاخره بردند/ تثبیت جایگاه دوم تراکتور با غلبه بر نماینده عراق
